

top - 06:45:46 up 1 day,  1:21,  2 users,  load average: 0.77, 0.19, 0.17
Tasks: 143 total,   2 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.0 us, 27.3 sy,  0.0 ni,  4.1 id,  0.0 wa,  0.0 hi,  7.6 si,  0.0 st
KiB Mem :  7996696 total,  3111912 free,  2203980 used,  2680804 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5689292 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1012 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1013 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1015 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1016 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1553 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
 1554 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 brcmf_wq/mmc1:0
 1555 root      20   0       0      0      0 S   0.0  0.0   0:09.84 brcmf_wdog/mmc1
 1615 systemd+  20   0   83592   2328   1888 S   0.0  0.0   0:00.71 systemd-timesyn
 1663 systemd+  20   0   11492   4960   4320 S   0.0  0.1   0:05.93 systemd-network
 1665 systemd+  20   0   10408   4076   3608 S   0.0  0.1   0:17.56 systemd-resolve
 1703 root      20   0   10312   5132   4436 S   0.0  0.1   0:01.10 systemd-logind
 1704 root      20   0  234768   6512   5492 S   0.0  0.1   0:04.34 accounts-daemon
 1705 root      20   0  100444  16288   8452 S   0.0  0.2   0:00.85 networkd-dispat
 1706 daemon    20   0    3656   1960   1764 S   0.0  0.0   0:00.01 atd
 1707 message+  20   0    7188   4288   3344 S   0.0  0.1   0:09.78 dbus-daemon
 1711 root      20   0  402504  16808  12604 S   0.0  0.2   1:31.13 NetworkManager
 1712 root      20   0  224788   1544   1072 S   0.0  0.0   0:01.44 lxcfs
 1713 root      20   0   80376   1380   1164 S   0.0  0.0   0:06.25 irqbalance
 1714 root      20   0    7068   2560   2264 S   0.0  0.0   0:00.40 cron
 1715 root      20   0  313640   9712   7520 S   0.0  0.1   0:00.71 ModemManager
 1717 syslog    20   0  220212   3920   3116 S   0.0  0.0   0:00.83 rsyslogd
 1720 root      20   0    9780   6812   6032 S   0.0  0.1   0:01.68 wpa_supplicant
 1725 root      20   0  231476   5984   5200 S   0.0  0.1   0:00.31 polkitd
 1749 root      20   0  105236  19068  11156 S   0.0  0.2   0:00.28 unattended-upgr
 1753 root      20   0 1481080  36920  23812 S   0.0  0.5   2:18.35 containerd
 1810 root      20   0    8368   5704   4460 S   0.0  0.1   0:00.60 dhclient
 1857 root      20   0    5728   1972   1828 S   0.0  0.0   0:00.00 agetty
 1867 root      20   0    4204   1556   1428 S   0.0  0.0   0:00.00 agetty
 1888 root      20   0   10420   5596   4872 S   0.0  0.1   0:00.05 sshd
 1930 root      20   0    1800    316    256 S   0.0  0.0   0:00.01 none
 4214 ubuntu    20   0   13140   7488   5688 S   0.0  0.1   0:00.44 systemd
 4215 ubuntu    20   0  163924   3340     24 S   0.0  0.0   0:00.00 (sd-pam)
 5429 root      20   0       0      0      0 I   0.0  0.0   0:03.13 kworker/3:0-eve
 5475 root      20   0   12324   6272   5288 S   0.0  0.1   0:00.06 sshd
 5564 ubuntu    20   0    8524   4796   3028 S   0.0  0.1   0:01.48 bash
 5580 root      20   0   12324   6220   5236 S   0.0  0.1   0:00.05 sshd
 5649 ubuntu    20   0   12548   3964   2720 S   0.0  0.0   0:00.90 sshd
 5650 ubuntu    20   0    8508   4776   3064 S   0.0  0.1   0:00.95 bash
 9075 root      20   0       0      0      0 I   0.0  0.0   0:07.06 kworker/u8:2-ev
10166 root       0 -20       0      0      0 D   0.0  0.0   0:00.32 kworker/0:1H+kb
11518 root      20   0  274264  12740  11060 S   0.0  0.2   0:01.45 packagekitd
20021 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0H
20022 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:1
20025 root      20   0       0      0      0 I   0.0  0.0   0:00.12 kworker/1:2-eve
20117 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:1H
20134 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:0H
20212 root      20   0       0      0      0 I   0.0  0.0   0:00.12 kworker/2:2-eve
20216 root      20   0       0      0      0 I   0.0  0.0   0:00.09 kworker/1:1-eve
20217 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:1-eve
20218 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:0H
20219 root      20   0       0      0      0 I   0.0  0.0   0:00.08 kworker/2:0-eve
20220 root      20   0       0      0      0 I   0.0  0.0   0:00.07 kworker/1:0-eve
20222 root      20   0       0      0      0 I   0.0  0.0   0:00.12 kworker/0:0-eve
20223 root      20   0       0      0      0 I   0.0  0.0   0:00.01 kworker/2:1-eve
20224 root      20   0    9680   3612   3108 S   0.0  0.0   0:00.02 sudo
20227 root      20   0  376536  38324  11484 S   0.0  0.5   0:00.17 open5gs-nrfd
20243 root      20   0  370536  32176   6928 S   0.0  0.4   0:00.11 open5gs-nssfd
20299 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:2H



